frame,DetObj#,x,y,z,v,snr,noise
0,8,-0.15488,1.43037,1.101,-0.02086,11.51385,3.01613
0,8,-0.12424,1.5618,1.07419,-0.04808,11.95678,3.04031
0,8,-0.08135,1.60366,1.13167,0.09875,8.87394,3.68849
0,8,-0.18809,1.40751,1.16106,-0.01384,5.32619,3.68331
0,8,-0.04832,1.51793,1.14225,-0.06117,9.18549,1.63851
0,8,-0.11265,1.38533,1.05265,0.02419,8.46692,1.88345
0,8,-0.05766,1.45636,1.12863,0.01449,8.5192,2.86419
0,8,-0.11993,1.63299,1.0573,0.12163,10.42309,3.51407
1,15,-0.07128,1.52022,0.86421,0.03052,12.4963,3.01001
1,15,-0.1979,1.61392,1.11514,0.0095,10.89096,2.52258
1,15,-0.0041,1.76961,0.98559,-0.04779,9.57469,2.0842
1,15,-0.01842,1.53387,0.96114,-0.10066,5.99673,2.37761
1,15,-0.06259,1.56318,1.05517,0.01174,4.90162,2.69408
1,15,0.00691,1.50482,1.06273,-0.08959,10.77098,3.57289
1,15,0.04149,1.48113,0.95755,0.12965,4.52466,2.14251
1,15,-0.04247,1.6439,0.99689,0.05647,8.25524,3.75771
1,15,-0.14586,1.60099,1.05938,-0.01894,12.16223,4.02278
1,15,-0.10151,1.51235,1.00937,-0.09605,8.64619,2.99539
1,15,-0.07089,1.66808,1.04551,-0.00986,14.28029,2.78122
1,15,-0.13876,1.55961,0.96345,0.00231,9.77396,3.6095
1,15,-0.09961,1.56655,1.07653,-0.06851,15.99218,3.45681
1,15,-0.01331,1.42658,1.02433,-0.08356,9.23633,2.28831
1,15,-0.09167,1.46912,1.10533,-0.13195,13.41095,4.19521
2,17,-0.06149,1.45224,1.11558,-0.00588,6.46375,1.46869
2,17,-0.18814,1.5071,1.0864,-0.1031,12.69761,3.58013
2,17,-0.08117,1.46777,1.06634,-0.16721,9.62019,2.39753
2,17,-0.15677,1.53657,1.10026,0.00781,18.0822,3.21858
2,17,-0.09992,1.45304,0.97222,-0.21596,8.12809,1.86218
2,17,-0.08229,1.57934,1.14154,-0.10599,6.84555,3.98843
2,17,-0.08767,1.48714,1.12894,0.07246,11.24285,3.57859
2,17,0.05772,1.55349,1.02363,-0.11273,6.78959,2.79672
2,17,0.0646,1.37939,1.12313,0.0495,10.1283,2.2503
2,17,0.06613,1.60364,1.06511,0.03699,7.92173,3.19717
2,17,-0.15666,1.4419,1.08771,0.00238,9.87945,4.17406
2,17,-0.08555,1.35929,1.01282,0.13775,9.30426,3.76486
2,17,-0.00427,1.48441,1.01722,0.03784,6.95121,3.72052
2,17,-0.06701,1.48948,1.03173,0.04741,8.4705,2.34854
2,17,-0.00204,1.60212,1.11428,-0.03186,12.14588,3.03033
2,17,0.03716,1.55011,1.05748,-0.10033,9.15123,2.46472
2,17,-0.1461,1.66449,1.11741,0.07477,8.63335,3.27326
3,14,0.03589,1.55026,1.04343,0.14856,9.77703,3.07274
3,14,-0.10834,1.50816,1.04623,0.14556,10.92878,4.24675
3,14,-0.16236,1.47256,1.0383,-0.04144,9.21887,2.89531
3,14,-0.05267,1.66521,0.96318,0.0448,9.44909,2.38418
3,14,-0.24983,1.54647,1.03042,0.04843,8.01677,2.88768
3,14,-0.1156,1.60123,0.9968,-0.08837,13.50152,3.86645
3,14,-0.08491,1.5084,1.09472,-0.03995,9.84609,4.52721
3,14,-0.0494,1.52837,1.08567,0.03229,11.71632,3.3253
3,14,0.01663,1.53402,1.02831,-0.12727,10.91852,1.98649
3,14,-0.02426,1.38042,0.9618,0.0364,15.27902,5.30172
3,14,-0.1201,1.52919,1.07905,-0.01854,15.6104,4.14303
3,14,0.0113,1.433,1.08067,-0.04167,13.48306,3.42904
3,14,-0.00516,1.68697,1.07244,-0.14673,12.93398,1.72736
3,14,-0.01382,1.62175,0.95587,0.01877,7.12727,2.00445
4,9,-0.06727,1.45807,1.03498,0.01112,14.43964,2.91562
4,9,0.01562,1.41723,1.0983,-0.00565,11.76882,2.68566
4,9,-0.09873,1.46656,1.08944,0.0466,8.78984,3.62631
4,9,0.01623,1.49744,1.01987,-0.15446,9.46018,4.80221
4,9,-0.13487,1.48879,1.03352,-0.0782,10.51908,3.11723
4,9,-0.1656,1.47603,1.01065,0.03372,4.66009,1.00535
4,9,-0.04666,1.42752,0.96821,0.16695,8.64442,2.58416
4,9,0.00353,1.54329,1.00713,-0.01571,12.86479,3.84382
4,9,-0.03344,1.59162,0.99593,0.06761,5.32612,2.99084
5,15,-0.07456,1.50866,1.04119,-0.02783,12.52748,3.90985
5,15,-0.21311,1.51141,0.96167,0.09405,11.24057,3.18673
5,15,0.05211,1.47856,1.01018,0.05644,9.11464,4.66709
5,15,-0.20804,1.55507,0.94254,0.01609,10.78533,3.70577
5,15,-0.01548,1.42818,0.98873,0.06349,8.48966,3.1755
5,15,-0.18486,1.67915,1.10167,0.02873,7.73965,3.42811
5,15,-0.06191,1.46291,0.9728,-0.05086,10.08268,3.68416
5,15,-0.072,1.39636,1.09815,0.12457,14.07563,2.53602
5,15,-0.03166,1.58387,1.14626,0.07245,10.15027,2.1995
5,15,-0.12371,1.45284,1.13069,0.04905,10.27782,3.38148
5,15,-0.03951,1.50255,1.0808,0.09626,14.41375,4.07577
5,15,-0.07732,1.45458,1.16631,-0.02195,8.72125,2.44768
5,15,-0.16225,1.52451,0.96096,-0.03665,11.03493,2.41502
5,15,-0.06672,1.59981,0.98438,0.01646,12.14857,4.67473
5,15,-0.18835,1.65899,0.99374,0.03024,9.4311,2.69125
6,10,-0.19383,1.48072,0.98394,0.11663,12.95399,2.97278
6,10,-0.16268,1.48197,1.04516,0.04241,6.73255,3.27646
6,10,0.02555,1.44674,1.19136,0.0136,9.3688,2.93534
6,10,-0.08829,1.4666,1.03143,0.11372,7.93498,4.06386
6,10,-0.06218,1.58552,1.1037,0.05639,7.3678,3.69291
6,10,-0.08161,1.75496,1.05384,-0.0392,14.77742,3.0981
6,10,-0.08341,1.53355,0.92083,-0.12203,9.54202,2.97322
6,10,-0.0708,1.55857,1.04133,0.05162,10.9479,3.83733
6,10,-0.04491,1.60367,1.11213,-0.05371,12.60066,3.03258
6,10,0.04114,1.54852,0.96138,-0.01671,10.41042,2.39187
7,15,-0.16366,1.40583,0.93118,-0.02325,9.37626,4.1729
7,15,-0.19347,1.47437,1.04033,-0.00473,10.27861,1.77961
7,15,-0.1521,1.51494,1.07833,-0.03242,6.15293,2.53762
7,15,-0.05224,1.59408,0.9932,0.03367,14.9782,3.90923
7,15,-0.09866,1.54798,1.18803,0.01397,6.23113,2.51632
7,15,-0.15208,1.47947,0.98231,-0.12153,8.0209,3.81492
7,15,-0.26802,1.47672,1.09694,-0.02958,9.42538,3.57077
7,15,-0.121,1.4202,0.98707,-0.01553,7.61917,4.18377
7,15,-0.01628,1.49807,0.86497,-0.00179,10.91599,4.46199
7,15,0.04803,1.53896,1.08166,-0.02355,11.1414,3.1063
7,15,0.00052,1.73596,1.17331,-0.05489,12.11118,2.86717
7,15,-0.08178,1.46015,0.92089,-0.04233,8.44256,3.03147
7,15,-0.07958,1.50102,0.97929,0.0709,15.20107,3.5143
7,15,-0.07044,1.51624,1.00932,0.06062,8.35345,2.30047
7,15,-0.07947,1.60945,0.99423,0.13224,9.09757,3.73164
8,15,-0.08423,1.52395,1.11541,0.05173,6.47771,2.18144
8,15,-0.03074,1.48877,0.98378,-0.13752,8.16695,3.84821
8,15,-0.06461,1.45944,1.04086,-0.01455,7.66844,2.57459
8,15,0.03792,1.55047,1.07183,-0.1077,12.84452,4.41146
8,15,-0.03557,1.42193,1.03775,0.11509,10.1907,2.739
8,15,-0.21612,1.57145,1.00112,-0.03179,7.58784,2.98705
8,15,-0.09229,1.6977,1.03375,0.07849,11.33697,2.25236
8,15,-0.15504,1.44141,1.00111,-0.10276,9.7405,2.7448
8,15,0.02765,1.59746,0.93969,0.05805,8.91682,2.0312
8,15,-0.01358,1.35722,0.95522,-0.05474,11.7944,3.40165
8,15,0.08933,1.62427,0.99917,-0.1475,10.84728,1.53907
8,15,0.07901,1.54596,1.07759,0.09382,7.52186,3.67362
8,15,-0.04492,1.6851,1.1702,-0.14587,8.44929,2.84101
8,15,-0.09723,1.3941,1.1424,-0.11836,9.19662,2.6512
8,15,0.01839,1.51034,0.96457,0.03255,9.80608,1.50459
9,10,-0.01017,1.4442,1.06686,-0.07593,11.22391,3.12764
9,10,0.01387,1.55521,0.91725,-0.00371,13.58804,3.17436
9,10,-0.05674,1.51405,1.15351,-0.09098,3.58544,3.28806
9,10,-0.02975,1.59343,0.94749,0.17838,8.9953,1.43002
9,10,0.07304,1.74816,1.138,-0.09603,16.13247,3.05655
9,10,-0.02774,1.58431,0.99866,-0.0409,8.19695,2.90587
9,10,0.03858,1.52594,1.16314,0.01023,8.65422,3.82263
9,10,-0.08798,1.40885,1.09729,-0.12916,8.55202,4.1813
9,10,-0.06874,1.50169,1.11114,0.0627,8.09708,2.6992
9,10,0.03275,1.53343,1.10964,-0.0611,6.5209,4.24291
10,16,-0.1082,1.61487,1.27611,-0.10038,10.88369,2.18364
10,16,0.09662,1.40485,1.06008,-0.15191,10.57088,2.78044
10,16,-0.11664,1.43793,1.00192,0.12067,9.51861,2.48242
10,16,0.06961,1.52595,1.00917,-0.04061,12.61898,4.36016
10,16,-0.13769,1.49626,1.05166,0.06503,10.47289,2.43409
10,16,-0.03283,1.58046,1.09248,0.00365,11.73245,2.68354
10,16,-0.04234,1.51773,1.10021,-0.0928,11.11492,4.27854
10,16,-0.10632,1.53128,1.01853,-0.06311,12.09271,3.09651
10,16,-0.1458,1.62549,1.1846,0.00651,11.70849,2.79758
10,16,-0.12272,1.69543,1.11353,-0.00131,3.5459,3.47773
10,16,0.03252,1.52189,0.96587,-0.05929,14.37378,3.14797
10,16,-0.09392,1.48713,1.15726,0.20408,6.73782,3.61395
10,16,-0.03625,1.43146,1.17687,0.12401,11.67568,3.84139
10,16,-0.04943,1.40173,1.01845,0.07495,9.40487,3.61244
10,16,-0.10534,1.57341,1.08346,-0.00143,8.61297,4.71004
10,16,-0.05124,1.64442,1.01849,0.0169,13.14192,2.72408
11,8,0.12022,1.50834,1.13067,-0.01652,10.41659,3.01388
11,8,0.07309,1.69754,0.98231,0.07284,11.29019,3.80546
11,8,0.00535,1.66125,1.12698,-0.0965,7.0874,2.46507
11,8,0.02966,1.59875,1.10641,0.07973,12.10594,3.04856
11,8,-0.06424,1.47892,1.07067,0.04046,4.17078,5.23278
11,8,-0.03205,1.59484,1.11516,-0.0856,14.33418,3.78742
11,8,-0.30268,1.59166,0.97831,-0.03261,7.06059,2.69993
11,8,-0.0836,1.44723,0.85425,-0.10433,12.01456,4.78101
12,11,-0.04797,1.63262,1.06772,0.11269,3.95031,2.64763
12,11,-0.05418,1.50333,1.09211,0.11961,6.03144,2.62669
12,11,-0.0868,1.54239,1.2159,0.12728,10.45182,4.34541
12,11,-0.01961,1.69025,1.06814,0.09892,9.95498,2.46172
12,11,0.02333,1.51734,1.1008,-0.01589,10.69862,1.75071
12,11,0.02721,1.58895,1.0151,0.11332,8.17225,3.82473
12,11,0.05079,1.48442,1.03954,-0.09007,9.56369,3.71595
12,11,-0.0042,1.48264,1.109,-0.03844,6.21502,3.32499
12,11,-0.09825,1.48443,1.15654,0.00992,9.77716,2.49217
12,11,0.05951,1.53947,1.07608,0.02191,12.83913,3.33733
12,11,-0.06443,1.59119,1.07409,-0.00023,11.54515,4.61257
13,8,-0.10635,1.62288,1.12803,0.06012,10.30348,0.9594
13,8,-0.0,1.6144,1.11324,0.0592,9.43081,3.00646
13,8,-0.0505,1.43829,1.1087,0.03911,11.52118,1.88057
13,8,0.00894,1.63749,1.1225,-0.12495,10.33929,2.19095
13,8,0.02372,1.66728,1.249,-0.05192,11.18275,2.38847
13,8,0.02623,1.44428,1.09061,0.08358,11.09557,3.48155
13,8,-0.12482,1.51573,1.22045,0.05958,14.4673,5.38709
13,8,-0.18722,1.30594,1.00058,-0.02575,14.37037,4.1411
14,10,0.16405,1.43711,0.8968,-0.0405,14.51434,4.16235
14,10,-0.0609,1.67415,1.0265,0.00239,6.96357,2.25733
14,10,-0.01546,1.61424,1.09938,-0.04655,7.08616,3.32946
14,10,0.05132,1.5603,1.01118,0.02852,10.38913,4.01512
14,10,-0.08332,1.48272,1.03982,0.11217,12.5326,3.33612
14,10,-0.08075,1.52085,1.11249,-0.0168,10.85265,2.65629
14,10,0.01567,1.44696,1.19667,0.04456,10.19568,3.20799
14,10,-0.10018,1.55446,1.15014,0.07343,13.46308,3.544
14,10,-0.03312,1.61027,1.14992,0.11714,14.42046,3.18547
14,10,-0.21306,1.61827,0.98874,-0.03689,8.31334,3.18311
15,14,0.02567,1.55551,1.03664,0.10586,8.68967,3.4412
15,14,0.06997,1.55134,0.87407,0.05304,10.73366,2.69049
15,14,-0.05133,1.56987,1.0317,-0.00064,13.05052,3.08048
15,14,0.02664,1.48732,1.16739,0.00726,5.11367,3.20459
15,14,-0.13519,1.48909,1.08005,0.00511,5.71924,3.50415
15,14,-0.03778,1.61717,1.02145,-0.07399,15.65196,3.33729
15,14,0.21939,1.60372,1.11592,-0.13597,3.74192,2.63146
15,14,-0.06505,1.66179,1.07776,-0.19351,10.68559,4.6178
15,14,-0.03874,1.62213,1.04173,-0.03087,13.2597,3.32312
15,14,-0.05694,1.61515,1.05738,-0.14033,9.80185,5.02361
15,14,-0.02522,1.559,1.1313,-0.00148,4.67215,3.4845
