frame,DetObj#,x,y,z,v,snr,noise
0,31,-0.28451,1.65582,0.72588,-0.04766,16.25236,3.11416
0,31,-0.07541,1.43631,1.15912,-0.07696,10.2022,2.97809
0,31,-0.48534,1.63052,1.20544,-0.04219,6.61402,0.96824
0,31,0.11236,1.24514,0.84059,0.02119,18.41877,2.84017
0,31,0.14903,1.5903,1.20965,-0.01817,9.21509,2.74668
0,31,-0.26035,1.52199,0.79095,-0.06798,12.94465,2.35441
0,31,-0.1814,1.64925,0.83294,0.16007,10.59481,2.19355
0,31,0.26365,1.8629,0.91095,-0.03035,15.90985,4.05174
0,31,-0.48847,1.50888,0.81354,-0.00177,10.93653,2.55173
0,31,-0.25201,1.42654,1.32201,-0.00406,16.03641,2.0141
0,31,0.1957,1.57293,0.97757,0.07488,18.52206,2.59177
0,31,-0.21545,1.46285,1.00148,-0.03024,10.2459,2.76394
0,31,-0.03161,1.39077,0.9162,-0.07704,15.16999,2.29472
0,31,-0.39752,1.35706,1.0796,-0.01384,18.98043,2.93623
0,31,-0.08095,1.715,1.02985,0.003,12.1988,2.3127
0,31,-0.00131,1.59859,0.92731,-0.0507,15.26547,3.15348
0,31,-0.05023,1.58198,1.54821,-0.075,15.95192,1.65435
0,31,0.41046,1.45812,0.99574,0.03741,14.84121,1.66455
0,31,-0.12301,1.61138,0.79646,0.10673,16.23867,3.07398
0,31,-0.04736,1.44203,0.90271,0.09883,16.63975,2.42276
0,31,0.13085,1.7447,0.78162,-0.01091,12.72358,3.05368
0,31,-0.19555,1.59514,1.07228,-0.06366,14.13917,2.40329
0,31,0.05476,1.57008,1.00876,0.02165,17.10271,3.58669
0,31,-0.21722,1.3597,0.97866,0.02937,9.88456,2.61032
0,31,-0.34618,1.35601,1.11582,-0.08637,19.12841,1.84613
0,31,-0.08368,1.52434,1.16672,0.05633,19.66885,2.90158
0,31,-0.33843,1.67802,0.79562,-0.09209,13.85844,2.14458
0,31,-0.11127,1.48535,1.15925,-0.05193,15.22273,2.03599
0,31,0.0278,1.62347,0.99434,0.07716,8.62745,2.94506
0,31,0.50586,1.71698,0.75648,0.09136,14.86269,2.08063
0,31,-0.07264,1.64798,1.0163,-0.0981,12.12567,2.2259
1,21,-0.17954,1.52396,1.04921,-0.01984,18.32509,1.85844
1,21,0.05829,1.36814,0.94062,-0.01356,13.89385,2.87177
1,21,-0.12212,1.52575,1.10092,-0.02484,16.2584,3.04305
1,21,-0.17055,1.55688,1.08828,0.02746,13.01787,2.71386
1,21,-0.31843,1.57653,0.83238,0.01015,10.48329,2.67574
1,21,-0.01155,1.77502,1.03543,-0.07152,8.98358,3.73081
1,21,-0.26519,1.50144,1.1544,-0.12749,14.5039,3.18934
1,21,-0.27023,1.58479,1.06783,0.03929,17.26019,3.4649
1,21,-0.1767,1.40068,0.861,-0.00188,11.37264,1.79313
1,21,0.17277,1.48393,1.00142,-0.0053,15.12191,2.60773
1,21,-0.29167,1.56765,0.92068,0.13461,14.79858,2.23575
1,21,0.24555,1.59948,1.15115,-0.06062,12.71969,1.85787
1,21,0.02543,1.51973,1.02201,-0.13253,11.89502,3.34609
1,21,0.07165,1.28762,0.90572,-0.03109,8.68764,2.5597
1,21,-0.4305,1.44414,1.125,-0.03639,10.8266,3.1121
1,21,-0.16187,1.85725,1.2379,0.13047,12.04841,3.96649
1,21,-0.5548,1.78237,1.08676,0.02375,19.52934,1.42837
1,21,0.23258,1.37411,1.0668,0.00959,15.93494,2.99488
1,21,0.20192,1.45475,1.28064,-0.02807,14.30261,3.41642
1,21,-0.20765,1.37645,0.9903,0.00885,20.52794,3.40668
1,21,-0.25721,1.74467,1.09608,0.04564,11.09496,2.49283
2,19,-0.25399,1.33722,0.90627,-0.03938,18.72819,2.51347
2,19,-0.08963,1.46966,1.02567,-0.05383,15.77778,2.00737
2,19,0.0046,1.59155,1.04879,0.04304,13.34047,1.13977
2,19,-0.08676,1.46482,0.61414,0.08851,9.80901,1.82861
2,19,-0.01143,1.35513,0.99105,-0.07286,17.78704,1.49348
2,19,-0.51121,1.64773,1.14951,-0.04439,14.34718,3.01318
2,19,0.15308,1.48978,0.76243,-0.01251,26.06516,3.4332
2,19,-0.07075,1.19576,1.04643,0.09442,13.71266,2.27554
2,19,-0.20427,1.45847,0.96299,-0.06208,13.90637,1.85459
2,19,-0.06359,1.33548,0.9992,-0.02761,11.52094,1.74939
2,19,-0.16143,1.60064,0.52669,0.07178,13.25782,2.25226
2,19,-0.09867,1.66438,0.93239,-0.0165,13.26364,1.66588
2,19,-0.16651,1.59673,1.04952,0.06627,14.76964,2.69017
2,19,0.04856,1.53848,1.1005,-0.04057,9.37902,2.73209
2,19,0.0741,1.36733,0.8244,-0.03543,13.40563,2.28914
2,19,-0.05267,1.39051,0.75574,-0.03351,9.083,1.57601
2,19,-0.56762,1.60171,0.98749,-0.15417,13.04259,4.10954
2,19,-0.34716,1.54913,0.76158,0.01633,11.67769,1.50022
2,19,-0.6048,1.32941,0.81974,0.12272,11.60555,1.50407
3,36,-0.33964,1.30066,1.10077,-0.10018,13.04504,2.13412
3,36,-0.07811,1.33494,1.22301,-0.10909,13.23284,2.43928
3,36,-0.28313,1.49697,1.00558,0.1926,14.83623,1.70083
3,36,-0.43521,1.56527,1.22268,0.03588,16.57857,2.49255
3,36,0.08703,1.31391,1.0877,-0.01541,10.80045,2.88802
3,36,0.32089,1.58702,0.94242,0.01297,10.8112,2.74636
3,36,-0.06258,1.51888,0.93291,-0.09132,16.12866,2.6048
3,36,0.06633,1.58337,0.91149,-0.04376,11.68354,2.63963
3,36,0.12171,1.45166,0.97709,0.02414,18.70455,1.99196
3,36,0.05164,1.57607,0.7888,0.03774,14.77186,3.4357
3,36,0.0916,1.6758,0.9943,-0.02772,17.86954,2.39685
3,36,-0.14544,1.25718,1.04126,-0.00186,14.08651,2.79076
3,36,0.2359,1.59497,1.01055,0.00301,15.68402,2.74106
3,36,-0.20783,1.49119,1.23823,-0.00425,18.31295,2.18699
3,36,-0.49698,1.55321,0.92708,0.10042,15.59585,2.25823
3,36,-0.1493,1.76143,0.90665,0.0023,10.24708,3.12049
3,36,-0.08748,1.50623,0.90861,0.10326,11.79396,3.04092
3,36,0.20238,1.3861,1.1279,-0.01994,11.32535,2.07305
3,36,-0.32007,1.5526,0.87972,0.00657,13.56504,2.76906
3,36,-0.06908,1.52241,1.04264,0.01379,7.43427,2.77646
3,36,-0.18469,1.33439,1.04315,0.08809,20.99054,2.18568
3,36,-0.19623,1.3845,0.85733,-0.06079,11.28907,3.80281
3,36,-0.0256,1.36807,1.01616,0.00344,11.85436,2.63764
3,36,-0.20449,1.40868,1.27594,0.14484,21.487,2.07228
3,36,-0.2214,1.47544,1.15163,-0.10244,10.3915,1.88743
3,36,-0.24969,1.2301,0.97825,-0.03354,3.55573,1.7696
3,36,-0.19109,1.40945,1.16459,0.11598,12.74835,1.68298
3,36,-0.06907,1.51333,1.10218,0.11215,13.97873,2.12535
3,36,0.29499,1.47187,0.74046,-0.08264,16.20404,2.26006
3,36,0.23313,1.41052,0.88542,-0.08015,10.10363,2.25298
3,36,-0.14532,1.30807,0.90128,0.07318,16.21929,2.24137
3,36,-0.0919,1.40395,0.83703,0.15644,11.20429,2.56986
3,36,-0.19533,1.55982,1.00559,0.05071,12.91637,2.9598
3,36,-0.27286,1.44543,1.17136,0.12361,9.36896,3.30792
3,36,0.24145,1.35918,1.3429,0.15653,15.16294,2.64634
3,36,-0.27789,1.68335,0.98382,0.0385,10.25008,2.54548
4,19,-0.33925,1.65644,0.9613,0.08242,18.79826,3.26063
4,19,-0.18997,1.36629,1.09422,-0.10161,12.04835,2.29886
4,19,-0.03149,1.58325,1.36141,-0.01493,23.60498,2.92077
4,19,0.11479,1.23059,0.68776,0.01957,10.83398,1.65264
4,19,0.01962,1.74047,0.92494,-0.04405,10.95678,1.93211
4,19,0.0263,1.43002,0.97598,-0.03527,17.53088,2.68971
4,19,-0.1434,1.74144,1.38042,0.03253,11.05423,2.88955
4,19,-0.1412,1.63339,0.96195,-0.05389,8.34199,2.95768
4,19,-0.13807,1.73056,0.90467,-0.12497,14.97241,2.098
4,19,-0.01816,1.61007,0.91929,-0.00346,15.97423,2.71153
4,19,-0.28717,1.33804,1.10872,-0.04299,17.05567,3.36956
4,19,-0.32854,1.60378,0.9924,-0.01474,14.69361,3.72157
4,19,-0.10438,1.50622,1.19745,-0.01467,12.75321,2.28194
4,19,-0.17341,1.52955,1.23306,0.03721,15.49194,2.244
4,19,-0.1422,1.31727,1.297,-0.08095,18.45034,0.52784
4,19,-0.34824,1.54615,1.16604,0.00688,7.53012,3.18811
4,19,-0.25885,1.47125,1.26629,-0.01626,15.27566,3.26387
4,19,-0.11302,1.53599,1.00484,0.00375,19.87884,3.50423
4,19,-0.10257,1.70754,0.8796,0.06884,18.40756,1.99118
5,22,-0.06037,1.8114,0.95768,0.05057,16.80037,2.92736
5,22,-0.36747,1.55794,1.15893,-0.02936,12.98028,2.59069
5,22,-0.00988,1.29222,1.02445,-0.06827,11.04141,3.02755
5,22,-0.18834,1.81439,1.18529,-0.01196,9.64734,3.67095
5,22,-0.19345,1.52803,0.9547,0.02261,11.44478,2.78489
5,22,0.27525,1.69434,1.01251,-0.01998,12.04986,2.20356
5,22,-0.12268,1.67139,1.00695,-0.0999,10.61253,2.32417
5,22,-0.13499,1.77539,0.77542,-0.03557,17.24619,2.70173
5,22,-0.12718,1.80365,1.18333,0.10522,18.29274,2.0232
5,22,-0.25834,1.5282,1.09542,0.02854,12.89112,1.22373
5,22,-0.18976,1.33887,0.97086,0.08106,15.22273,2.14123
5,22,-0.09851,1.51177,1.09241,-0.08059,13.51838,2.64457
5,22,-0.19866,1.37958,0.84136,-0.04492,13.964,3.46408
5,22,-0.31767,1.51878,0.95618,0.05375,19.48404,1.2453
5,22,-0.28912,1.3771,0.94046,-0.0902,13.18562,2.35431
5,22,-0.35317,1.48438,0.76572,0.04387,15.23061,1.60129
5,22,-0.02595,1.70002,0.90698,-0.02534,14.31743,2.63174
5,22,0.14319,1.35635,1.13541,-0.00664,10.20925,1.38542
5,22,-0.3055,1.37244,0.77718,-0.10384,15.08147,2.19526
5,22,0.00897,1.68934,1.16366,-0.00353,15.0083,2.16375
5,22,0.04022,1.44452,1.13156,0.10037,17.23377,1.96616
5,22,0.04557,1.33522,0.7533,0.06453,12.72491,3.02676
6,33,-0.08119,1.7018,1.14156,0.03939,13.6653,3.25354
6,33,-0.2508,1.65476,0.90853,-0.03228,8.34651,2.67992
6,33,-0.06183,1.67392,0.87238,-0.03365,16.02977,3.07785
6,33,-0.2225,1.26623,0.76198,0.01759,21.4495,2.6003
6,33,-0.42556,1.47717,0.90419,0.09654,20.61772,2.07986
6,33,-0.16791,1.62372,0.74927,0.09219,16.61682,2.67872
6,33,0.06511,1.45963,1.11081,-0.09499,10.74312,3.28553
6,33,0.01477,1.80364,1.07351,0.05788,8.87017,2.40984
6,33,-0.20823,1.1906,0.94471,0.06854,17.88201,3.15064
6,33,-0.25818,1.45604,0.78541,0.09089,13.65718,2.66349
6,33,-0.40377,1.83413,1.14951,0.07571,12.02758,1.70126
6,33,-0.36492,1.37344,1.45477,0.03172,17.01262,2.03213
6,33,-0.09981,1.35836,0.87403,0.04192,3.21328,2.04111
6,33,-0.06542,1.5253,0.96807,-0.09401,8.64127,3.14141
6,33,0.00364,1.21277,0.96342,0.03513,6.84212,3.34422
6,33,-0.09983,1.33318,1.05136,0.10557,18.32704,2.26131
6,33,-0.34165,1.83259,0.96699,0.00903,17.41286,2.59482
6,33,-0.1906,1.27536,0.71909,0.09873,17.45677,4.02801
6,33,-0.56035,1.39011,1.00613,0.03954,14.10138,1.49477
6,33,-0.1566,1.70466,1.17714,-0.01853,13.95763,1.86072
6,33,-0.2145,1.67854,0.90125,0.10151,13.50048,2.69079
6,33,-0.13623,1.26959,0.9091,-0.0059,16.69841,2.65945
6,33,-0.65086,1.72768,0.83236,-0.04275,15.95874,2.96694
6,33,-0.22386,1.48635,0.93677,0.01625,11.26349,2.2906
6,33,-0.05008,1.25651,0.98588,-0.0516,16.06543,2.27687
6,33,-0.12914,1.68634,1.17688,0.01167,11.33954,3.61483
6,33,-0.08032,1.67875,0.8435,-0.11065,16.32943,2.43076
6,33,-0.31312,1.51086,0.91069,0.0155,14.92553,2.95925
6,33,-0.31143,1.27267,1.09834,-0.0324,16.30164,2.12372
6,33,-0.60089,1.35608,1.09258,0.06765,17.83362,2.38376
6,33,-0.08741,1.53894,1.20177,0.04591,11.07203,1.89102
6,33,-0.28051,1.65765,1.18584,0.04448,13.74949,2.12337
6,33,-0.04971,1.7491,0.78911,-0.0656,8.20568,3.05015
7,24,0.12834,1.47471,0.99104,-0.03913,15.60762,2.10636
7,24,-0.23702,1.17144,0.89074,-0.04264,12.1758,3.84061
7,24,-0.18943,1.48799,0.97001,0.02036,14.74165,2.70757
7,24,-0.0527,1.29455,1.01208,0.04451,15.07921,2.77347
7,24,-0.15122,1.5896,0.54805,0.11238,14.25841,3.06498
7,24,0.11173,1.55388,1.02606,-0.0025,14.69102,2.63154
7,24,0.17067,1.48682,1.12004,0.05914,16.68287,3.00185
7,24,-0.00301,2.03746,0.90546,0.05586,21.73253,2.23391
7,24,-0.20366,1.39955,1.52696,-0.10542,20.75547,2.61358
7,24,-0.11785,2.0102,0.88756,-0.02262,21.03137,2.34598
7,24,-0.51892,1.72038,1.01099,-0.02646,21.44545,2.54388
7,24,-0.6304,1.55762,1.29752,0.02863,10.63331,2.79124
7,24,0.23544,1.75533,1.11579,0.09482,13.86196,3.18453
7,24,-0.284,1.399,0.82336,-0.0221,13.23276,2.03552
7,24,-0.14097,1.48149,0.80915,-0.00921,15.81379,1.94483
7,24,-0.10185,1.55415,0.99544,-0.01386,12.54446,1.76206
7,24,-0.29603,1.73866,0.78057,0.00099,11.50977,1.65097
7,24,-0.12515,1.63646,1.06201,-0.04953,12.50727,3.01989
7,24,0.22122,1.92733,1.24286,0.14923,15.79997,3.04042
7,24,-0.12496,1.56162,1.04379,0.02859,9.81376,2.14526
7,24,0.36186,1.68827,0.96885,-0.03235,13.86641,2.71604
7,24,-0.04019,1.46088,0.89583,-0.04177,10.3352,2.64999
